Date,Open,High,Low,Close,Volume,Adj Close
2013-05-31,275.709991,291.070007,244.619995,274.549988,0,274.549988
2013-04-30,357.320007,357.500000,256.200012,283.779999,0,283.779999
2013-03-28,356.089996,364.260010,337.290009,357.109985,0,357.109985
2013-02-28,399.140015,408.250000,352.679993,354.269989,0,354.269989
2013-01-31,454.709991,455.350006,392.720001,393.630005,0,393.630005
2012-12-31,450.149994,451.480011,418.739990,444.220001,0,444.220001
2012-11-30,500.209991,501.950012,430.690002,450.320007,0,450.320007
2012-10-31,513.809998,523.190002,479.679993,506.329987,0,506.329987
2012-09-28,458.709991,529.799988,451.880005,513.809998,0,513.809998
2012-08-31,408.399994,460.950012,392.450012,458.420013,0,458.420013
2012-07-31,426.410004,444.000000,385.200012,409.279999,0,409.279999
2012-06-29,427.440002,464.760010,407.019989,427.769989,0,427.769989
2012-05-31,443.880005,449.049988,372.739990,416.450012,0,416.450012
2012-04-30,472.010010,484.929993,422.920013,443.269989,0,443.269989
2012-03-30,532.039978,539.619995,458.489990,472.899994,0,472.899994
2012-02-29,541.239990,554.919983,505.070007,529.700012,0,529.700012
2012-01-31,512.770020,554.380005,492.679993,541.239990,0,541.239990
2011-12-30,584.659973,590.719971,477.929993,498.730011,0,498.730011
2011-11-30,566.090027,614.619995,528.260010,584.780029,0,584.780029
2011-10-31,526.190002,585.000000,482.920013,566.090027,0,566.090027
2011-09-30,598.320007,638.590027,516.510010,526.190002,0,526.190002
2011-08-31,543.609985,608.210022,512.450012,598.320007,0,598.320007
2011-07-29,521.559998,587.289978,507.040009,543.609985,0,543.609985
2011-06-30,552.549988,554.849976,487.959991,521.559998,0,521.559998
2011-05-31,592.500000,592.500000,507.980011,552.549988,0,552.549988
2011-04-29,573.130005,609.219971,565.820007,592.500000,0,592.500000
2011-03-31,563.950012,582.969971,517.890015,573.130005,0,573.130005
2011-02-28,506.170013,565.549988,506.170013,563.950012,0,563.950012
2011-01-31,573.320007,578.799988,492.040009,506.170013,0,506.170013
2010-12-31,550.000000,598.359985,548.830017,573.320007,0,573.320007
2010-11-30,522.229980,588.150024,513.320007,550.000000,0,550.000000
2010-10-29,509.880005,536.880005,490.369995,522.229980,0,522.229980
2010-09-30,487.890015,516.270020,476.399994,509.880005,0,509.880005
2010-08-31,442.640015,496.380005,437.049988,487.890015,0,487.890015
2010-07-30,475.220001,475.220001,429.329987,442.640015,0,442.640015
2010-06-30,453.649994,501.220001,441.059998,475.220001,0,475.220001
2010-05-28,463.730011,502.149994,419.649994,453.649994,0,453.649994
2010-04-30,406.950012,472.700012,406.950012,463.730011,0,463.730011
2010-03-31,404.179993,433.989990,392.570007,406.950012,0,406.950012
2010-02-26,374.040009,419.390015,363.250000,404.179993,0,404.179993
2010-01-29,429.910004,475.320007,373.019989,374.040009,0,374.040009
2009-12-31,474.679993,516.159973,416.019989,429.910004,0,429.910004
2009-11-30,390.890015,494.380005,384.769989,474.679993,0,474.679993
2009-10-30,418.649994,458.850006,377.200012,390.890015,0,390.890015
2009-09-30,357.220001,448.309998,347.260010,418.649994,0,418.649994
2009-08-31,360.399994,380.760010,336.470001,357.220001,0,357.220001
